Date,Open,High,Low,Close,Adj Close,Volume
2001-08-29,117.129997,117.180000,115.169998,115.540001,84.643211,16180000
2001-08-30,114.849998,115.739998,112.040001,113.320000,83.016884,17692600
2001-08-31,113.400002,114.769997,113.129997,114.150002,83.624908,15985400
2001-09-04,113.849998,116.169998,113.370003,113.419998,83.090118,24473400
2001-09-05,113.699997,114.190002,111.949997,113.699997,83.295280,21477100
2001-09-06,112.650002,113.300003,110.769997,110.769997,81.148788,21653000
2001-09-07,110.019997,111.250000,108.629997,108.720001,79.646988,33133900
2001-09-10,107.699997,110.349998,107.699997,110.050003,80.621323,23408700
2001-09-17,101.000000,106.400002,100.000000,104.300003,76.408943,32388700
2001-09-18,104.330002,105.300003,103.360001,104.050003,76.225784,22029200
2001-09-19,104.099998,104.500000,98.559998,101.949997,74.687355,42771800
2001-09-20,100.400002,101.809998,98.559998,98.709999,72.313759,36210900
2001-09-21,94.279999,98.989998,93.800003,97.279999,71.533569,49782100
2001-09-24,99.720001,101.160004,99.059998,100.699997,74.048416,25549600
2001-09-25,100.750000,102.000000,99.900002,101.750000,74.820518,25466200
2001-09-26,102.349998,102.400002,100.430000,101.389999,74.555817,18587500
2001-09-27,101.250000,102.290001,100.000000,102.269997,75.202888,20536800
2001-09-28,102.980003,109.620003,102.500000,104.440002,76.798599,21687200
2001-10-01,103.900002,104.320000,102.830002,104.269997,76.673553,20457400
2001-10-02,104.000000,105.580002,103.650002,105.580002,77.636856,19833100
2001-10-03,104.599998,107.879997,104.349998,107.349998,78.938408,32045800
2001-10-04,108.290001,108.970001,106.750000,107.440002,79.004593,32674100
2001-10-05,107.250000,107.620003,105.519997,107.230003,78.850174,29796100
2001-10-08,106.269997,107.300003,105.870003,106.529999,78.335449,12970300
2001-10-09,106.610001,106.750000,105.599998,105.959999,77.916336,15976300
2001-10-10,105.800003,108.550003,105.519997,108.320000,79.651695,19987400
2001-10-11,108.949997,110.300003,108.949997,110.000000,80.887047,23006300
2001-10-12,109.150002,109.889999,107.300003,109.500000,80.519394,31360500
2001-10-15,108.629997,109.449997,108.059998,109.300003,80.372307,16873000
2001-10-16,109.800003,110.610001,108.949997,109.989998,80.879723,15877100
2001-10-17,111.070000,111.150002,107.650002,107.650002,79.159012,28542300
2001-10-18,107.820000,108.160004,106.750000,107.419998,78.989899,16510000
2001-10-19,107.000000,107.910004,106.010002,107.349998,78.938408,21912500
2001-10-22,107.300003,109.570000,107.209999,109.470001,80.497345,17540600
2001-10-23,109.959999,110.279999,108.379997,108.910004,80.085548,22062500
2001-10-24,108.980003,109.449997,108.220001,108.620003,79.872292,16065200
2001-10-25,107.449997,110.599998,106.739998,110.570000,81.306213,27467900
2001-10-26,109.949997,111.790001,109.669998,110.320000,81.122368,18623300
2001-10-29,110.160004,110.550003,107.449997,107.449997,79.011963,18727500
2001-10-30,107.349998,107.699997,105.559998,106.160004,78.063354,26178600
2001-10-31,106.900002,107.860001,105.800003,105.800003,77.798645,28124200
2001-11-01,106.599998,109.010002,105.699997,108.510002,79.791412,29806800
2001-11-02,108.440002,109.379997,107.870003,109.250000,80.335548,17575900
2001-11-05,110.120003,111.089996,109.949997,110.680000,81.387070,15929500
2001-11-06,110.349998,112.480003,109.849998,112.400002,82.651871,23245800
2001-11-07,111.769997,113.120003,111.639999,112.250000,82.541557,19716000
2001-11-08,112.870003,114.080002,111.900002,112.599998,82.798965,22563500
2001-11-09,112.250000,112.959999,111.440002,112.720001,82.887146,15895800
2001-11-12,111.000000,112.650002,110.000000,112.029999,82.379799,26068800
2001-11-13,113.440002,114.550003,113.180000,114.550003,84.232834,15296200
2001-11-14,115.169998,115.400002,113.709999,114.660004,84.313728,17571300
2001-11-15,114.370003,115.180000,113.930000,114.870003,84.468147,19470200
